"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2065572","5fb7fa5a6bfed6a370a8cc38a56a4e16b474df586af83155432380be0e03c785539ff6415cf487bc746f7f657590277bfedbc530462b885960460c95951533dc","2025-05-18T10:00:00.000","2","PARKED",,"1969022",,"HONDA","OTHER (EXPLAIN IN NARRATIVE)","IL","2019","UNKNOWN","PASSENGER","PERSONAL","E","PARKED",,,"0",,,,,"Y","Y","Y",,,,,,,,,,,"SIDE-RIGHT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065480","608c2e018a832628658f784789fa75045140c9147a72885d495e423de71310f437959ee86e08a3c109cadfb25ce6dcf17667086412ef18b99b2944aa9ac75dab","2025-05-18T10:00:00.000","1","DRIVER",,"1968937",,"MITSUBISHI","OUTLANDER","IL","2007","NONE","PASSENGER","PERSONAL","N","BACKING",,,"1",,,,,,,,,,"Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065481","608c2e018a832628658f784789fa75045140c9147a72885d495e423de71310f437959ee86e08a3c109cadfb25ce6dcf17667086412ef18b99b2944aa9ac75dab","2025-05-18T10:00:00.000","2","DRIVER","1","1968939",,"TESLA","MODEL S","IL","2020","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","Y",,"2",,,,,"Y","Y","Y","Y",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066073","cc124398fa8e28653309fcd90d4e2e9968df37a6ddca6507013b5a20b42549e47d7e7089d3c3458baf8a2bb2ac39be7449c78c5f33a8d77521fc3cd2854a6ba7","2025-05-18T09:55:00.000","1","DRIVER",,"1969490",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066074","cc124398fa8e28653309fcd90d4e2e9968df37a6ddca6507013b5a20b42549e47d7e7089d3c3458baf8a2bb2ac39be7449c78c5f33a8d77521fc3cd2854a6ba7","2025-05-18T09:55:00.000","2","DRIVER",,"1969497",,"CHEVROLET","EQUINOX","IL","2019","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"Y","Y",,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065482","9fc9e527589ce54528192e8f4d74cdaf2c088d655f3cff6baebbef7dc49a33c3c556b3e045d4010681f915421c6d31a0862e4cdbb88bd4c2731df120530419e6","2025-05-18T09:54:00.000","1","DRIVER",,"1968955",,"JEEP","COMPASS","IL","2016","UNKNOWN","PASSENGER","PERSONAL","E","OTHER",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065483","9fc9e527589ce54528192e8f4d74cdaf2c088d655f3cff6baebbef7dc49a33c3c556b3e045d4010681f915421c6d31a0862e4cdbb88bd4c2731df120530419e6","2025-05-18T09:54:00.000","2","DRIVER","2","1968964",,"HONDA","ODYSSEY","IL","2006","UNKNOWN","PASSENGER","PERSONAL","E","OTHER",,,"3",,,,,,,,,,"Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065491","512d6c77fea36f9b160a9a29cafde9293fb68bfa957f657fbd404e498e465aaea84f301a420a4d85bfe8c1cc5a0ded22f0863a3ac0c7a76a2c890afbeea2fccb","2025-05-18T09:45:00.000","1","DRIVER",,"1968947",,"HONDA","CR-V","IL","2003","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","LEAVING TRAFFIC LANE TO PARK",,,"1",,,,,,,,,,,,,"Y",,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065492","512d6c77fea36f9b160a9a29cafde9293fb68bfa957f657fbd404e498e465aaea84f301a420a4d85bfe8c1cc5a0ded22f0863a3ac0c7a76a2c890afbeea2fccb","2025-05-18T09:45:00.000","2","BICYCLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065496","75ccf684018d8cedc69ed4be876d226c42f3c85d42e6badb7733dd4b828683530f3c2e073a812d385dce0ec38240d15be4efe6f295d2f2a1c3005159247e1dec","2025-05-18T09:45:00.000","1","DRIVER",,"1968959",,"JEEP","COMPASS","IL","2017","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","CHANGING LANES",,,"1",,,,,"Y","Y",,,,,,,,,,,,"SIDE-RIGHT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065497","75ccf684018d8cedc69ed4be876d226c42f3c85d42e6badb7733dd4b828683530f3c2e073a812d385dce0ec38240d15be4efe6f295d2f2a1c3005159247e1dec","2025-05-18T09:45:00.000","2","DRIVER",,"1968968",,"FORD","FUSION","IL","2020","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y","Y",,,"SIDE-LEFT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065476","df94853790cb4a3d792334335e2c6583bbfa9e37b81cefc10b21d34387068ccb4f946eac4b8b273d524f9077835fa53b801c1b5f2341359594f40bd8829e63b4","2025-05-18T09:35:00.000","1","DRIVER","1","1968930",,"TOYOTA","CAMRY","IL","2010","NONE","PASSENGER","RIDESHARE SERVICE","NW","STRAIGHT AHEAD","Y",,"2",,,,,"Y","Y",,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065477","df94853790cb4a3d792334335e2c6583bbfa9e37b81cefc10b21d34387068ccb4f946eac4b8b273d524f9077835fa53b801c1b5f2341359594f40bd8829e63b4","2025-05-18T09:35:00.000","2","DRIVER",,"1968940",,"TOYOTA","PRIUS","WI","2023","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","Y",,"1",,,,,"Y","Y","Y",,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065539","276087b1378902b1e9404b346533150b5936659e4c46808970cd9682045de03cb3c42a011cda6cc2aa78ea6cd4bb71d0187f4aeb0c52865908f50605bef5a10c","2025-05-18T09:30:00.000","1","DRIVER",,"1968990",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","OTHER","E","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065540","276087b1378902b1e9404b346533150b5936659e4c46808970cd9682045de03cb3c42a011cda6cc2aa78ea6cd4bb71d0187f4aeb0c52865908f50605bef5a10c","2025-05-18T09:30:00.000","2","PARKED",,"1968991",,"TOYOTA","RAV4","IL","2022","NONE","SPORT UTILITY VEHICLE (SUV)","NOT IN USE","E","PARKED",,,"0",,,,,"Y","Y","Y",,,,,,,,,,,"SIDE-RIGHT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065467","303e0ac34d75208526546597679d40dfca758e7bbac54e06b6123d21d4bb46af986a90cd2922707c68646aac0fa83f2f2e57c0a1e22fd9f0b2a23001e3357811","2025-05-18T09:20:00.000","1","DRIVER",,"1968932",,"NISSAN","MAXIMA","IL",,"UNKNOWN","PASSENGER","OTHER","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065468","303e0ac34d75208526546597679d40dfca758e7bbac54e06b6123d21d4bb46af986a90cd2922707c68646aac0fa83f2f2e57c0a1e22fd9f0b2a23001e3357811","2025-05-18T09:20:00.000","2","DRIVER","1","1968938",,"LINCOLN","NAVIGATOR","IL",,"UNKNOWN","PASSENGER","RIDESHARE SERVICE","S","STRAIGHT AHEAD",,,"2",,,,,,,,,"Y",,,,,,,,,"SIDE-RIGHT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065459","3382120c7837d34039a3b980e00f3be2621eeda38dd635b7e4577b1f5adc1aa2fb59976da89ca5c1b1390570a30f3dc793c4678415c2037dd0dc5a0a5e416d24","2025-05-18T09:17:00.000","1","DRIVER",,"1968923",,"FORD","EXPEDITION","IL","2024","NONE","PASSENGER","RIDESHARE SERVICE","E","TURNING RIGHT",,,"1",,,,,,,,,"Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065460","3382120c7837d34039a3b980e00f3be2621eeda38dd635b7e4577b1f5adc1aa2fb59976da89ca5c1b1390570a30f3dc793c4678415c2037dd0dc5a0a5e416d24","2025-05-18T09:17:00.000","2","DRIVER",,"1968933",,"TOYOTA","COROLLA","IL","2021","NONE","PASSENGER","PERSONAL","E","TURNING LEFT",,,"1",,,,,,,,,,,,,,"Y","Y",,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065506","aa73f04030689d2326af1d870b6d4b2e70da0f526d67ba530a04933e5cccbc277e7c53e462e4bc03d3f6774e0b9925ce3e5bc917b8a224994da79c33f6c7f295","2025-05-18T09:00:00.000","1","DRIVER",,"1968951",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065507","aa73f04030689d2326af1d870b6d4b2e70da0f526d67ba530a04933e5cccbc277e7c53e462e4bc03d3f6774e0b9925ce3e5bc917b8a224994da79c33f6c7f295","2025-05-18T09:00:00.000","2","PARKED",,"1968953",,"HONDA","CR-V","IL","2012","NONE","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","N","PARKED",,,"0",,,,,"Y",,,,,,,,,"Y","Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065517","c737e0fcf8d20a2b9dbeaac925714df540330805ebb8b7c91d0d03009fc4f11dbedc6df804c929d7ebd1da69f888f707798f785cd82051646e04a5cfc5a2ebc9","2025-05-18T09:00:00.000","1","DRIVER",,"1968979",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065502","c3194012c5befe0f60ca48b5b215ff45d58960c1b32aee870eaf0618a397bf334ac332aabd5311136604f6709b132226f6b0aa75161dcf9224b6a829ee1df320","2025-05-18T08:45:00.000","1","DRIVER",,"1968950",,"TOYOTA","CAMRY",,"2010","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065503","c3194012c5befe0f60ca48b5b215ff45d58960c1b32aee870eaf0618a397bf334ac332aabd5311136604f6709b132226f6b0aa75161dcf9224b6a829ee1df320","2025-05-18T08:45:00.000","2","DRIVER",,"1968960",,"CHEVROLET","COBALT","IL","2010","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065504","c3194012c5befe0f60ca48b5b215ff45d58960c1b32aee870eaf0618a397bf334ac332aabd5311136604f6709b132226f6b0aa75161dcf9224b6a829ee1df320","2025-05-18T08:45:00.000","3","DRIVER",,"1968952",,"HONDA","HR-V","IL","2018","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"Y",,,,,,,"REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065453","a04acc7116c1ac3668c4248b152994d180a786e3b22a36a05ae5cc8a8ac7708178a9ab4f4cb063de7e50875e81ea33393ffda7433a564a05b6ae3e5324867fa0","2025-05-18T08:39:00.000","1","DRIVER","1","1968914",,"CHEVROLET","TRAX","IL","2025","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","N","PASSING/OVERTAKING","Y",,"2",,"CITY OF CHICAGO","701 N SACRAMENTO",,,,,,,,,,,"Y","Y","Y",,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065454","a04acc7116c1ac3668c4248b152994d180a786e3b22a36a05ae5cc8a8ac7708178a9ab4f4cb063de7e50875e81ea33393ffda7433a564a05b6ae3e5324867fa0","2025-05-18T08:39:00.000","2","DRIVER","1","1968918",,"CHRYSLER","OTHER (EXPLAIN IN NARRATIVE)","IL","2025","UNKNOWN","VAN/MINI-VAN","UNKNOWN/NA","N","STRAIGHT AHEAD",,,"2",,,,,,,"Y","Y","Y","Y",,,,,,,,"REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065569","b80235ea7e3a3f583c4df42383261ba8a95d12558ad8953c13086f9447a6c52692b843a5640a0d553daa7509118a791e96216506be065212d7e52dde941db857","2025-05-18T08:00:00.000","1","DRIVER",,"1969012",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065570","b80235ea7e3a3f583c4df42383261ba8a95d12558ad8953c13086f9447a6c52692b843a5640a0d553daa7509118a791e96216506be065212d7e52dde941db857","2025-05-18T08:00:00.000","2","PARKED",,"1969014",,"KIA","OPTIMA / K5","IL","2012","NONE","PASSENGER","PERSONAL","E","PARKED","Y",,"0",,"UNK","UNK",,"Y","Y",,,"Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065469","6ac23ee44761509ad5ee5bc8df74039a6c936da3cedf2fbb0fd293ab158164a566403611e99ea223f3803e834938cabe9d3867e016506d9dc0a926423ffa8c64","2025-05-18T07:51:00.000","1","DRIVER","1","1968927",,"TOYOTA","PRIUS","IL","2015","NONE","PASSENGER","OTHER","N","STRAIGHT AHEAD","Y",,"2",,"UNKNOWN","UNKNOWN",,"Y","Y",,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065470","6ac23ee44761509ad5ee5bc8df74039a6c936da3cedf2fbb0fd293ab158164a566403611e99ea223f3803e834938cabe9d3867e016506d9dc0a926423ffa8c64","2025-05-18T07:51:00.000","2","DRIVER",,"1968934",,"FORD","EXPLORER","IL","2018","NONE","SPORT UTILITY VEHICLE (SUV)","POLICE","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,"Y","Y",,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065439","a848b180f8fd8c30641a635be273aacb7d7bdc54ded2e59a9fed7416ae9d05f76f6afe30d552f937d13ed99c979171f23f73b2e82b73407c5a0cf903e802b20b","2025-05-18T07:40:00.000","1","DRIVER",,"1968902",,"NISSAN","ROGUE","IL","2013","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065440","a848b180f8fd8c30641a635be273aacb7d7bdc54ded2e59a9fed7416ae9d05f76f6afe30d552f937d13ed99c979171f23f73b2e82b73407c5a0cf903e802b20b","2025-05-18T07:40:00.000","2","DRIVER","1","1968903",,"HONDA","CR-V","IL","2025","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","SLOW/STOP IN TRAFFIC",,,"2",,,,"Y",,,,,,,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066376","0e9284373ec3b5e3f12bfa0f73023e0455aad6d5fcb92dd35d5f97f0edcf125a8c1b250eb4894a77f6be6b6eb347d5b700e6ee76201eff1369bcfbe81ad99160","2025-05-18T07:30:00.000","1","DRIVER",,"1969780",,"LEXUS","OTHER (EXPLAIN IN NARRATIVE)","IL","2009","NONE","PASSENGER","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066377","0e9284373ec3b5e3f12bfa0f73023e0455aad6d5fcb92dd35d5f97f0edcf125a8c1b250eb4894a77f6be6b6eb347d5b700e6ee76201eff1369bcfbe81ad99160","2025-05-18T07:30:00.000","2","DRIVER",,"1969790",,"SUBARU","FORESTER","IL","2020","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065573","9e1ecbcf3df1ff5079ed437c34af2b35d8331194dec914b8fdc037df6625e84c431dd739c011d40c61309b2efac3d0a3bf9580e470a4403e98f163c3b8518577","2025-05-18T07:00:00.000","1","DRIVER",,"1969017",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065574","9e1ecbcf3df1ff5079ed437c34af2b35d8331194dec914b8fdc037df6625e84c431dd739c011d40c61309b2efac3d0a3bf9580e470a4403e98f163c3b8518577","2025-05-18T07:00:00.000","2","PARKED",,"1969021",,"VOLKSWAGEN","EOS","IL","2010","UNKNOWN","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,,,,,,,,"Y",,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065461","39328f1ab472b3dc3e96593807c327a325ac3af836bc34bba8c82562fa807ce8f7e26bbebcb95e4017fed36df4dbe7b8df0bc10de92ebc3571ab1014562d01d0","2025-05-18T06:30:00.000","1","DRIVER",,"1968921",,"CHEVROLET","TRAIL BLAZER","IL","2024","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065462","39328f1ab472b3dc3e96593807c327a325ac3af836bc34bba8c82562fa807ce8f7e26bbebcb95e4017fed36df4dbe7b8df0bc10de92ebc3571ab1014562d01d0","2025-05-18T06:30:00.000","2","DRIVER","1","1968926",,"DODGE","RAM 1500 PU","IL",,"UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"2",,,,,,,"Y","Y","Y",,,,,,,,,"REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2065991","b0dcabc2fd7988e8249fa96db0e8971b703194e3fb1436546499f40106ac4b202c8632cf79eeba6ba7a351d3222670a00c0412afab5cd553e3276580099cb63e","2025-05-18T06:00:00.000","1","DRIVER",,"1969412",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
